Name,sleeper_id,Pos,Team,exp,bd,age,espn_id,clean_name,Bye,ESPN,ECR,ADP,Yahoo,Sleeper,Rank
Jon Kitna,404,QB,FA,24,1972-09-21,52.9,NA,NA,,999,999,999,999,999.0,970
Charlie Whitehurst,698,QB,FA,14,1982-08-06,43.1,NA,NA,,999,999,999,999,999.0,971
Jake Tonges,8698,TE,SF,3,1999-07-08,26.2,4259147,jake tonges,14,999,999,999,999,999.0,972
Josh Ferguson,3453,RB,FA,6,1993-05-23,32.3,NA,NA,,999,999,999,999,999.0,973
Kalif Phillips,4385,RB,FA,5,1994-03-22,31.4,NA,NA,,999,999,999,999,999.0,974
Steven Montez,7013,QB,FA,3,1997-01-14,28.6,NA,NA,,999,999,999,999,999.0,975
Darrin Reaves,2193,RB,FA,8,1993-04-17,32.4,NA,NA,,999,999,999,999,999.0,976
T.J. Vasher,7862,WR,FA,1,1998-08-29,27.0,NA,NA,,999,999,999,999,999.0,977
Max Duggan,10233,QB,FA,1,2001-03-12,24.5,4427105,max duggan,,999,999,999,999,999.0,978
Craig Stevens,8079,TE,FA,12,1984-09-01,41.0,NA,NA,,999,999,999,999,999.0,979
Theo Riddick,1517,RB,FA,9,1991-05-04,34.3,NA,NA,,999,999,999,999,999.0,980
Canon Rooker,5354,K,FA,0,,,NA,NA,,999,999,999,999,999.0,981
Brandon Dillon,6279,TE,FA,4,1997-04-30,28.3,NA,NA,,999,999,999,999,999.0,982
C.J. Conrad,6501,TE,FA,3,1996-05-09,29.3,NA,NA,,999,999,999,999,999.0,983
Kevin Brock,1007,TE,FA,3,1986-04-09,39.4,NA,NA,,999,999,999,999,999.0,984
Mark Chapman,5776,WR,FA,4,,,NA,NA,,999,999,999,999,999.0,985
Brandon Cottom,2948,RB,FA,7,1992-12-21,32.7,NA,NA,,999,999,999,999,999.0,986
Ke'Shawn Williams,12971,WR,PIT,0,,,NA,NA,5,999,999,999,999,999.0,987
Alexander Hollins,6381,WR,FA,3,1996-11-24,28.8,NA,NA,,999,999,999,999,999.0,988
Dax Raymond,6016,TE,PIT,3,1994-11-30,30.8,NA,NA,5,999,999,999,999,999.0,989
Brycen Tremayne,11157,WR,CAR,2,1999-11-18,25.8,4360763,brycen tremayne,14,999,999,999,999,999.0,990
Aaron Green,3471,RB,FA,6,1992-10-15,32.9,NA,NA,,999,999,999,999,999.0,991
Glenn Winston,2297,RB,FA,6,1989-04-29,36.3,NA,NA,,999,999,999,999,999.0,992
Ricky Stanzi,881,QB,FA,5,1987-09-03,38.0,NA,NA,,999,999,999,999,999.0,993
La'Mical Perine,6908,RB,FA,4,1998-01-30,27.6,4034952,lamical perine,,999,999,999,999,999.0,994
Brian Brown,4569,WR,FA,5,1994-10-22,30.9,NA,NA,,999,999,999,999,999.0,995
Darius White,3945,WR,FA,0,,,NA,NA,,999,999,999,999,999.0,996
Keke Coutee,5007,WR,FA,5,1997-01-14,28.6,NA,NA,,999,999,999,999,999.0,997
Jacob Eason,6823,QB,FA,4,1997-11-17,27.8,NA,NA,,999,999,999,999,999.0,998
Matt Weiser,3648,TE,FA,6,1992-10-07,32.9,NA,NA,,999,999,999,999,999.0,999
