Team,Pos,Bye,Name,Rank,CBS,Yahoo,ADP,ECR,NFL
HOU,D/ST,7,Texans D/ST,286,999,999,999,999,999
MIA,K,10,Jason Sanders,287,999,999,999,999,999
TEN,K,7,Nick Folk,288,999,999,999,999,999
CHI,TE,13,Gerald Everett,289,999,999,999,999,999
WAS,TE,14,Ben Sinnott,290,999,202,999,999,197
NYG,TE,13,Theo Johnson,291,999,999,999,999,999
LAR,TE,10,Colby Parkinson,292,999,999,999,999,999
DEN,TE,9,Greg Dulcich,293,999,999,999,999,999
CIN,WR,7,Jermaine Burton,294,999,203,200,186,121
NYJ,WR,7,Xavier Gipson,295,999,999,999,999,999
LV,QB,13,Gardner Minshew II,296,999,999,999,999,999
GB,D/ST,6,Packers D/ST,297,999,999,999,999,999
MIN,D/ST,13,Vikings D/ST,298,999,999,999,999,999
PHI,D/ST,10,Eagles D/ST,299,999,999,999,999,999
CAR,D/ST,7,Panthers D/ST,300,999,999,999,999,999
